name,BNN
3ol,0.8931375
1xd,0.88952184
1u3,0.88959813
5ke,0.8968601
3ol,0.8878608
5va,0.8933926
1pi,0.8952895
3ol,0.89106125
3ol,0.8942723
1jf,0.8940456
1UA,0.89372045
3CP,0.8916681
1XH,0.8938929
1XD,0.89113
3BA,0.89134187
1XH,0.89195174
1XD,0.89113474
1BA,0.8929005
1WO,0.89582235
1JF,0.89276147
1U3,0.89037824
1U3,0.8888037
3L2,0.8924991
2QV,0.8894587
6Z8,0.8899238
1XC,0.8927902
3BA,0.8915091
5TD,0.8895564
1XC,0.8889471
6M4,0.8939057
1G9,0.8921242
1e5,0.8890204
1h5,0.88801354
1oc,0.8906095
8a3,0.89383054
1w3,0.88922876
1w3,0.8886879
1qi,0.88911456
5a3,0.8882659
4A3,0.88643855
1G0,0.88980156
8A3,0.8858609
5A8,0.885791
5A9,0.89228064
5A8,0.88710165
4HU,0.88995606
3A3,0.88508195
5A8,0.8872425
1QI,0.88635683
1HF,0.8873844
1W3,0.88889015
2CK,0.89113814
2A3,0.886777
1TV,0.89183515
2V3,0.8886644
b14,0.88521993
b15,0.88762283
b1d,0.8901069
b20,0.8897636
b22,0.8888583
b26,0.8921906
5xg,0.84260964
5f8,0.8922658
5f9,0.87915915
5F8,0.87147975
5DU,0.89120555
5F8,0.8949966
5VB,0.8859281
3WM,0.8668036
3WM,0.8966675
5F8,0.8947887
5XG,0.8878285
6BF,0.8966854
b2c,0.89430946
1gw,0.86873055
1OH,0.8703617
1W8,0.8790706
1W8,0.86820036
1GW,0.82430494
1GW,0.87932754
n01,0.3749233
n08,0.42046928
n45,0.8869757
n46,0.87367713
n48,0.88353384
b19,0.8425122
n57,0.0022718308
n71,0.18244076
n78,0.19240032
n7f,0.4410752
n80,0.42140785
n8f,0.0013554207
n96,0.68512136
na1,0.72320366
1of,0.8932466
4cs,0.88850784
4c1,0.89152175
4d5,0.89417845
1IU,0.893108
7C3,0.8902528
7C3,0.8939481
7C3,0.8913231
4CS,0.87080437
5EO,0.8912598
4UO,0.88815206
5EO,0.89176774
4C1,0.89312196
4AH,0.8902826
4D5,0.89006495
4AH,0.89083946
1IU,0.89080995
b0d,0.8942526
b0d,0.8914654
b43,0.89394605
b58,0.89393675
b76,0.89180994
1wd,0.8905907
2xg,0.88929665
1IT,0.8851975
1B1,0.8850845
1Q6,0.8892696
1VE,0.88624173
1VE,0.8852229
1VE,0.8892252
1FA,0.88743937
1B9,0.8859433
1J1,0.89033484
1Q6,0.8885424
1V3,0.8909252
1VE,0.88674927
1V3,0.89001733
5WQ,0.8869085
2XF,0.883034
1J1,0.88426214
1Q6,0.8839991
b19,0.88310266
b1a,0.88853484
b3b,0.8857105
b97,0.8881115
ba8,0.8860016
bad,0.883215
bae,0.88450295
3th,0.89100885
1TY,0.8959288
1TY,0.8937048
1TY,0.8916493
1TS,0.8958809
1QA,0.894198
1QA,0.8935516
1QA,0.8952511
1TY,0.8921894
1CL,0.8914792
b3d,0.8916182
2ZQ,0.8823479
2ZQ,0.88660955
2DR,0.88556373
2DR,0.8876169
b2f,0.8879676
1G8,0.89688593
1ax,0.8913121
3n3,0.8966612
5t5,0.8938652
5kx,0.8943378
5t5,0.892104
1ax,0.8929168
1ri,0.88819104
4xt,0.89400536
4xt,0.8973504
1gz,0.8940759
1ax,0.8932078
1ax,0.89690745
3zy,0.89515966
1gz,0.89474845
2AR,0.8944722
1HK,0.8954893
6VC,0.8940884
1G7,0.8892719
1N3,0.89393896
1GZ,0.8929495
2LT,0.8928152
1LG,0.8900747
2PH,0.89330596
1S1,0.8910634
2DV,0.8917817
3N3,0.89381874
2TE,0.89813673
4XX,0.893088
2LA,0.8908627
1G9,0.89575267
1AX,0.8949579
4U3,0.89260674
2FM,0.8932256
2AR,0.8955667
2DT,0.893424
1HQ,0.89496493
1LE,0.8938751
4XT,0.89289033
2SB,0.8908547
6VC,0.89753634
2AR,0.89315903
6V9,0.8926037
2DU,0.8936536
3UJ,0.8923796
1UK,0.8920803
1LE,0.8924063
2PH,0.8927324
2DU,0.89181846
1QF,0.8926141
2GM,0.8903648
4M3,0.8965514
1WB,0.8912912
2E7,0.8931643
1LU,0.894386
1RI,0.8924095
1Q8,0.89361405
5AV,0.89129347
5T5,0.89121217
5KX,0.891877
1LU,0.8923449
2GM,0.8900429
5KX,0.8902064
1GS,0.89357597
1QO,0.8913718
5T7,0.89174306
1UZ,0.8922651
5U3,0.8918942
1V0,0.8930538
5T5,0.89122534
1FA,0.8921804
1DZ,0.8931321
5KX,0.8920018
5EY,0.89123225
1UZ,0.89315516
2E7,0.89533937
1BZ,0.8927295
5EY,0.89701325
5KX,0.8931754
2GN,0.8932202
1CI,0.8910097
1QN,0.8963817
1QO,0.89367795
1Q8,0.892452
1FN,0.8935861
3WO,0.8950296
3WC,0.8962726
3IP,0.88962126
1LO,0.893311
1LU,0.8934286
1N4,0.8952495
1LO,0.8920782
2GN,0.89448607
2GM,0.89166975
2BQ,0.8946907
3WC,0.89153177
1FA,0.8919642
1Q8,0.8922416
1FN,0.89720845
1JX,0.8914713
5T5,0.89513975
1RI,0.89331377
2GN,0.8921797
1LO,0.89406455
1WB,0.8935749
2GN,0.89100146
1DB,0.8901688
4WV,0.89244735
5T5,0.892538
2AU,0.8911093
1Q8,0.8946512
1CR,0.8906151
5T5,0.8925854
2ZM,0.8934318
2D3,0.8937381
6VG,0.89390546
1FY,0.8944699
1LO,0.8945327
1SB,0.8924798
5T5,0.8933102
1QO,0.8926004
1F9,0.89208174
1SB,0.89526296
2GN,0.8920659
1RI,0.893348
1LO,0.8905642
2E5,0.89354783
1LO,0.895674
2GN,0.8959722
1SB,0.8939644
2ZM,0.8925332
1CQ,0.8965473
1V6,0.8927937
2DV,0.89343965
2B7,0.89268416
3ZY,0.8960955
1LE,0.89753896
1AX,0.8913357
3UK,0.89090294
2DT,0.89455765
2DV,0.8961255
1V6,0.8898921
6VA,0.89442533
2DV,0.89235616
1AX,0.89187235
1GN,0.8925441
2EI,0.89155716
1AX,0.89340556
6VA,0.8895798
1V6,0.8927577
1V6,0.8900161
1LE,0.89280754
1V6,0.8960844
1V6,0.89153147
2DV,0.8923272
2PE,0.8925753
3ZV,0.8924748
1GZ,0.89289904
1BJ,0.893991
1SF,0.890923
1V6,0.8960986
2AR,0.8923907
6AQ,0.891964
1Q8,0.89638335
6AQ,0.89073426
2E5,0.8948298
b00,0.89208627
b1b,0.89668185
b21,0.8968392
b2c,0.89658844
b2d,0.89037126
b2f,0.8907572
b32,0.8924478
b35,0.89533836
b43,0.89567405
b50,0.8962882
b52,0.8937237
b59,0.892812
b59,0.893926
b79,0.89076024
b80,0.8964734
b99,0.89158654
4I4,0.89220756
2y9,0.88927805
4I4,0.8953373
4I4,0.8932969
4I4,0.8925278
4I4,0.89202654
4I4,0.8923918
2Y9,0.8943072
4I4,0.89564157
4I4,0.89403486
5YN,0.8878776
4j3,0.89210594
2y4,0.8916645
2FH,0.8857106
2FH,0.88349974
2FH,0.88552165
2FH,0.8867562
2FH,0.88763
6J4,0.88870966
4J3,0.8881906
6J3,0.8834678
4J3,0.8846857
4J3,0.8885701
4J3,0.889998
4J3,0.88671476
b9e,0.8836754
