50
loading Picap predictions



loading PiCAP
Using: cuda
cuda
PiCAP loaded
Running Predictions...

	------PiCAP results-------
3ol , 0.87897044
1xd , 0.9010341
1u3 , 0.90685594
5ke , 0.8948194
3ol , 0.88671523
5va , 0.91384745
1pi , 0.9276751
3ol , 0.8952312
3ol , 0.8843902
1jf , 0.9092734
1UA , 0.8874979
3CP , 0.9052221
1XH , 0.8819697
1XD , 0.8980511
3BA , 0.88525915
1XH , 0.8907201
1XD , 0.9047754
1BA , 0.90400875
1WO , 0.90982616
1JF , 0.8973204
1U3 , 0.90222096
1U3 , 0.89227325
3L2 , 0.9188632
2QV , 0.87939686
6Z8 , 0.90110296
1XC , 0.89037865
3BA , 0.8958269
5TD , 0.8928418
1XC , 0.88670295
6M4 , 0.9153048
1G9 , 0.90158594
1e5 , 0.88370216
1h5 , 0.87303096
1oc , 0.8961161
8a3 , 0.8925189
1w3 , 0.8842391
1w3 , 0.8974755
1qi , 0.9185309
5a3 , 0.8519245
4A3 , 0.8734847
1G0 , 0.9152399
8A3 , 0.86685777
5A8 , 0.91139024
5A9 , 0.89385736
5A8 , 0.88511896
4HU , 0.875894
3A3 , 0.89259195
5A8 , 0.89608335
1QI , 0.8672236
1HF , 0.87226015
1W3 , 0.8726024
2CK , 0.8676782
2A3 , 0.86123604
1TV , 0.878531
2V3 , 0.88808644
b14 , 0.87443084
b15 , 0.8659448
b1d , 0.9185352
b20 , 0.902511
b22 , 0.88440204
b26 , 0.91487545
5xg , 0.8826951
5f8 , 0.90446734
5f9 , 0.8709159
5F8 , 0.8721382
5DU , 0.8834597
5F8 , 0.9042003
5VB , 0.89049804
3WM , 0.87870497
3WM , 0.85570997
5F8 , 0.8965916
5XG , 0.8985273
6BF , 0.8834681
b2c , 0.90067667
1gw , 0.9117309
1OH , 0.8690475
1W8 , 0.8803088
1W8 , 0.8821303
1GW , 0.88654035
1GW , 0.8932864
n01 , 0.8364437
n08 , 0.00070126227
n45 , 0.86765677
n46 , 0.8867578
n48 , 0.910887
b19 , 0.03343269
n57 , 0.0010277819
n71 , 0.0007181752
n78 , 0.0042703263
n7f , 0.002876367
n80 , 0.007354075
n8f , 0.0007741854
n96 , 0.7712194
na1 , 0.8728484
1of , 0.8940238
4cs , 0.88524085
4c1 , 0.882268
4d5 , 0.86273456
1IU , 0.8968159
7C3 , 0.8957957
7C3 , 0.90552473
7C3 , 0.87425107
4CS , 0.88543504
5EO , 0.8901862
4UO , 0.8992478
5EO , 0.88619494
4C1 , 0.885051
4AH , 0.8881711
4D5 , 0.8759282
4AH , 0.8998119
1IU , 0.8923484
b0d , 0.87786365
b0d , 0.8963532
b43 , 0.8883301
b58 , 0.9253483
b76 , 0.8962598
1wd , 0.89480525
2xg , 0.90960646
1IT , 0.9052053
1B1 , 0.9023212
1Q6 , 0.9000539
1VE , 0.8862481
1VE , 0.8745242
1VE , 0.8660798
1FA , 0.89423054
1B9 , 0.8785625
1J1 , 0.8844837
1Q6 , 0.87526745
1V3 , 0.90216035
1VE , 0.91907346
1V3 , 0.89427555
5WQ , 0.9044807
2XF , 0.90146124
1J1 , 0.88403976
1Q6 , 0.87467426
b19 , 0.90391374
b1a , 0.8968061
b3b , 0.88825846
b97 , 0.9000857
ba8 , 0.9028349
bad , 0.8694468
bae , 0.9039833
3th , 0.8841111
1TY , 0.90266
1TY , 0.89054257
1TY , 0.8807133
1TS , 0.9060209
1QA , 0.89175904
1QA , 0.8934755
1QA , 0.89835
1TY , 0.8733399
1CL , 0.9140482
b3d , 0.8959749
2ZQ , 0.90601903
2ZQ , 0.8592103
2DR , 0.89181197
2DR , 0.90292555
b2f , 0.86131734
1G8 , 0.8599713
1ax , 0.8848737
3n3 , 0.8840138
5t5 , 0.894796
5kx , 0.8889767
